Num of Voxels in M,resize_ratio,Memory to load 2 volumes,Time reg_type 1,Memory reg_type 1,PSNR reg_type 1,Time reg_type 2,Memory reg_type 2,PSNR reg_type 2,CPU available
0.01215,0.2,276.73046875,0,281.37890625,21.76274592790197,0,282.078125,21.76274592790197,4
0.0972,0.4,282.08203125,1,298.46484375,23.355646187598417,0,300.11328125,23.355646187598417,4
0.305252,0.6,286.8359375,1,334.6484375,23.01564343610995,1,335.13671875,23.01564343610995,4
0.736943,0.8,300.56640625,4,403.640625,22.293296996136426,4,412.421875,22.293296996136426,4
